property_type,region,area_m2,price_usd,lat,lon,state
apartment,Northeast,110,187230.85,-35.7088142,-35.7088142,Alagoas
apartment,Northeast,65,81133.37,-35.70484,-35.70484,Alagoas
house,Northeast,211,154465.45,-35.7297953,-35.7297953,Alagoas
apartment,Northeast,99,146013.2,-35.719556,-35.719556,Alagoas
apartment,Northeast,55,101416.71,-35.700227,-35.700227,Alagoas
apartment,Northeast,56,75727.07,-35.735621,-35.735621,Alagoas
apartment,Northeast,68,110916.18,-35.662909,-35.662909,Alagoas
apartment,Northeast,187,249641.14,-35.703827,-35.703827,Alagoas
apartment,Northeast,90,115459.02,-35.702976,-35.702976,Alagoas
apartment,Northeast,137,361979.65,-35.7115455,-35.7115455,Alagoas
apartment,Northeast,101,131061.59,-35.702961,-35.702961,Alagoas
house,Northeast,140,99856.45,-35.893414,-35.893414,Alagoas
apartment,Northeast,250,466625.47,-35.69973,-35.69973,Alagoas
apartment,Northeast,136,162941.08,-35.73711,-35.73711,Alagoas
apartment,Northeast,145,200197.52,-35.705772,-35.705772,Alagoas
apartment,Northeast,138,188295.26,-35.708401,-35.708401,Alagoas
apartment,Northeast,175,405666.85,-35.706558,-35.706558,Alagoas
apartment,Northeast,122,187230.85,-35.705242,-35.705242,Alagoas
apartment,Northeast,98,118579.54,-35.702976,-35.702976,Alagoas
apartment,Northeast,107,183069.25,-35.700417,-35.700417,Alagoas
apartment,Northeast,68,86366.47,-35.74342,-35.74342,Alagoas
apartment,Northeast,118,199559.38,-35.703827,-35.703827,Alagoas
apartment,Northeast,205,106050.67,-35.73373,-35.73373,Alagoas
apartment,Northeast,130,209074.45,-35.705776,-35.705776,Alagoas
apartment,North,93,148349.22,-51.0695784,-51.0695784,Amapá
apartment,North,117,249641.14,-60.057747,-60.057747,Amazonas
house,North,110,118579.54,-60.0047424,-60.0047424,Amazonas
house,North,80,78012.85,-59.999931,-59.999931,Amazonas
house,Northeast,138,93615.42,-38.5093,-38.5093,Bahia
house,Northeast,202,154465.45,-38.32711,-38.32711,Bahia
apartment,Northeast,120,87374.39,-38.45739,-38.45739,Bahia
house,Northeast,202,154465.45,-38.32711,-38.32711,Bahia
apartment,Northeast,82,87374.39,-38.45739,-38.45739,Bahia
apartment,Northeast,88,168507.77,-38.417938,-38.417938,Bahia
house,Northeast,202,154465.45,-38.32711,-38.32711,Bahia
apartment,Northeast,127,202833.42,-38.456074,-38.456074,Bahia
house,Northeast,240,374461.71,-38.48336,-38.48336,Bahia
apartment,Northeast,139,202521.37,-38.405239,-38.405239,Bahia
apartment,Northeast,139,205641.88,-38.405239,-38.405239,Bahia
apartment,Northeast,139,327341.94,-38.405239,-38.405239,Bahia
house,Northeast,191,131061.59,-38.365299,-38.365299,Bahia
apartment,Northeast,84,109217.99,-38.126591,-38.126591,Bahia
apartment,Northeast,57,93303.37,-38.367931,-38.367931,Bahia
apartment,Northeast,182,468077.13,-38.532276,-38.532276,Bahia
apartment,Northeast,115,205953.94,-38.45739,-38.45739,Bahia
apartment,Northeast,105,106097.48,-38.481049,-38.481049,Bahia
apartment,Northeast,108,102976.97,-38.126591,-38.126591,Bahia
apartment,Northeast,72,143408.53,-38.435036,-38.435036,Bahia
apartment,Northeast,54,121388.0,-38.456074,-38.456074,Bahia
apartment,Northeast,55,89558.75,-38.456074,-38.456074,Bahia
apartment,Northeast,70,154465.45,-38.456074,-38.456074,Bahia
apartment,Northeast,107,190351.36,-38.45739,-38.45739,Bahia
apartment,Northeast,186,414965.98,-38.486431,-38.486431,Bahia
apartment,Northeast,90,177025.52,-38.417938,-38.417938,Bahia
apartment,Northeast,55,98296.19,-38.438103,-38.438103,Bahia
apartment,Northeast,225,390064.28,-38.519222,-38.519222,Bahia
apartment,Northeast,54,79573.11,-38.47842,-38.47842,Bahia
apartment,Northeast,225,254587.15,-38.45739,-38.45739,Bahia
apartment,Northeast,75,177931.09,-38.417938,-38.417938,Bahia
apartment,Northeast,75,107713.59,-38.431145,-38.431145,Bahia
apartment,Northeast,243,470485.55,-38.403465,-38.403465,Bahia
house,Northeast,99,87374.39,-41.320999,-41.320999,Bahia
apartment,Northeast,68,137302.62,-38.456074,-38.456074,Bahia
apartment,Northeast,66,122436.49,-38.431145,-38.431145,Bahia
apartment,Northeast,63,121127.12,-38.431145,-38.431145,Bahia
apartment,Northeast,90,204926.35,-38.456074,-38.456074,Bahia
apartment,Northeast,76,140423.14,-38.403465,-38.403465,Bahia
apartment,Northeast,83,153352.36,-38.381538,-38.381538,Bahia
apartment,Northeast,76,99856.45,-38.496819,-38.496819,Bahia
house,Northeast,70,78012.85,-38.32711,-38.32711,Bahia
apartment,Northeast,67,137674.59,-38.492966,-38.492966,Bahia
apartment,Northeast,56,99683.89,-38.429649,-38.429649,Bahia
apartment,Northeast,83,221393.62,-38.429649,-38.429649,Bahia
apartment,Northeast,83,206020.72,-38.429649,-38.429649,Bahia
apartment,Northeast,90,292482.05,-38.5047,-38.5047,Bahia
apartment,Northeast,89,149507.27,-38.45739,-38.45739,Bahia
apartment,Northeast,70,164886.72,-38.43898,-38.43898,Bahia
apartment,Northeast,61,121700.05,-38.43898,-38.43898,Bahia
apartment,Northeast,122,187230.85,-38.486305,-38.486305,Bahia
